The name of the password cracker you used 
John the ripper

Which passwords you attacked
Unix Passwords

Where you ran it
On my Laptop

How long it ran
It ran for 1 day 14 hours

The list of passwords it cracked.
lauran:ferrari1:1112:100:lauran sebastian:/usr/home/lauran:/bin/tcsh
ellie:123259s:1758:100:ellie harrigan:/usr/home/ellie:/bin/tcsh
karlyn:pokilla1:1777:100:karlyn jewell:/usr/home/karlyn:/bin/tcsh
ethel:paulinho:2682:100:ethel cade:/usr/home/ethel:/bin/tcsh
cristie:bilboo00:2621:100:cristie keen:/usr/home/cristie:/bin/tcsh
millard:changeme:2791:100:millard seals:/usr/home/millard:/bin/tcsh
lamar:myrlyn2:2134:100:lamar conway:/usr/home/lamar:/bin/tcsh
lucretia:dowsme22:2084:100:lucretia scholl:/usr/home/lucretia:/bin/tcsh
lisbeth:august11:2949:100:lisbeth weatherly:/usr/home/lisbeth:/bin/tcsh
elaina:sega98:2903:100:elaina ocampo:/usr/home/elaina:/bin/tcsh
berneice:besmart:2226:100:berneice justus:/usr/home/berneice:/bin/tcsh
lucrecia:hoklim:1705:100:lucrecia deal:/usr/home/lucrecia:/bin/tcsh
julianne:shuman23:2804:100:julianne pulliam:/usr/home/julianne:/bin/tcsh
hilario:snoopy:1163:100:hilario brownell:/usr/home/hilario:/bin/tcsh
takisha:00999:1067:100:takisha irving:/usr/home/takisha:/bin/tcsh
tuyet:change00:2685:100:tuyet peeples:/usr/home/tuyet:/bin/tcsh
willis:tenaya1:1075:100:willis hillis:/usr/home/willis:/bin/tcsh
vickie:welcome1:2921:100:vickie clem:/usr/home/vickie:/bin/tcsh
kelsey:love1799:2440:100:kelsey bickford:/usr/home/kelsey:/bin/tcsh
kanisha:sar123:2857:100:kanisha conklin:/usr/home/kanisha:/bin/tcsh
dorene:awesome2:2881:100:dorene fredericks:/usr/home/dorene:/bin/tcsh
donya:aaai84:2365:100:donya larrabee:/usr/home/donya:/bin/tcsh
alicia:jayanth1:1858:100:alicia harney:/usr/home/alicia:/bin/tcsh
jacquetta:cris17a:2237:100:jacquetta lock:/usr/home/jacquetta:/bin/tcsh
velda:a1b2c3d4:1711:100:velda roberge:/usr/home/velda:/bin/tcsh
lawanda:lizard:2545:100:lawanda ontiveros:/usr/home/lawanda:/bin/tcsh
dahlia:password:2082:100:dahlia alford:/usr/home/dahlia:/bin/tcsh
elene:scotty23:1482:100:elene kessler:/usr/home/elene:/bin/tcsh
pasty:london:2149:100:pasty hankins:/usr/home/pasty:/bin/tcsh
yuri:frances:1098:100:yuri hooks:/usr/home/yuri:/bin/tcsh
kasandra:mimi1994:2022:100:kasandra perdue:/usr/home/kasandra:/bin/tcsh
birdie:rol1067:2567:100:birdie beall:/usr/home/birdie:/bin/tcsh
kathi:password:2502:100:kathi latta:/usr/home/kathi:/bin/tcsh
xenia:molly215:2774:100:xenia morales:/usr/home/xenia:/bin/tcsh
otis:mik11e:1372:100:otis alcorn:/usr/home/otis:/bin/tcsh
berta:raduga1:2460:100:berta duran:/usr/home/berta:/bin/tcsh
